Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,rsi_OB_70,rsi_OS_30,LRSI,len,lrsi,lrsi_OB_07,lrsi_OS_03,TSI,len,tsi,tsi_pos,tsi_neg
1,10dORHV,1,1/4/10 0:00,,,,24.69,,,stockpx,1,1/4/10 0:00,,,,17.1,,,HVStrategy,1,733776,RSI,1,,,,LRSI,1,,,,TSI,1,,,
2,10dORHV,2,1/5/10 0:00,,,,23.59,,,stockpx,2,1/5/10 0:00,,,,17.22,,,HVStrategy,2,733777,RSI,2,,,,LRSI,2,,,,TSI,2,,,
3,10dORHV,3,1/6/10 0:00,,,,22.59,,,stockpx,3,1/6/10 0:00,,,,17.16,,,HVStrategy,3,733778,RSI,3,,,,LRSI,3,,,,TSI,3,,,
4,10dORHV,4,1/7/10 0:00,,,,24.71,,,stockpx,4,1/7/10 0:00,,,,16.7,,,HVStrategy,4,733779,RSI,4,,,,LRSI,4,,,,TSI,4,,,
5,10dORHV,5,1/8/10 0:00,,,,20.74,,,stockpx,5,1/8/10 0:00,,,,16.7,,,HVStrategy,5,733780,RSI,5,,,,LRSI,5,,,,TSI,5,,,
6,10dORHV,6,1/11/10 0:00,,,,17.82,,,stockpx,6,1/11/10 0:00,,,,16.8,,,HVStrategy,6,733783,RSI,6,,,,LRSI,6,0.714285714,1,0,TSI,6,,,
7,10dORHV,7,1/12/10 0:00,,,,17.62,,,stockpx,7,1/12/10 0:00,,,,16.69,,,HVStrategy,7,733784,RSI,7,,,,LRSI,7,0.712220973,1,0,TSI,7,,,
8,10dORHV,8,1/13/10 0:00,,,,17.68,,,stockpx,8,1/13/10 0:00,,,,16.88,,,HVStrategy,8,733785,RSI,8,,,,LRSI,8,0.801451137,1,0,TSI,8,,,
9,10dORHV,9,1/14/10 0:00,,,,19.14,,,stockpx,9,1/14/10 0:00,,,,17.17,,,HVStrategy,9,733786,RSI,9,,,,LRSI,9,1,1,0,TSI,9,,,
10,10dORHV,10,1/15/10 0:00,,,,20.49,,,stockpx,10,1/15/10 0:00,,,,16.85,,,HVStrategy,10,733787,RSI,10,,,,LRSI,10,1,1,0,TSI,10,,,
11,10dORHV,11,1/19/10 0:00,,,,18.94,,,stockpx,11,1/19/10 0:00,,,,16.74,,,HVStrategy,11,733791,RSI,11,,,,LRSI,11,1,1,0,TSI,11,,,
12,10dORHV,12,1/20/10 0:00,,,,19.92,,,stockpx,12,1/20/10 0:00,,,,16.4,,,HVStrategy,12,733792,RSI,12,,,,LRSI,12,1,1,0,TSI,12,,,
13,10dORHV,13,1/21/10 0:00,,,,20.31,,,stockpx,13,1/21/10 0:00,,,,16.22,,,HVStrategy,13,733793,RSI,13,,,,LRSI,13,1,1,0,TSI,13,,,
14,10dORHV,14,1/22/10 0:00,,,,19.38,,,stockpx,14,1/22/10 0:00,,,,15.86,,,HVStrategy,14,733794,RSI,14,,,,LRSI,14,1,1,0,TSI,14,,,
