Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,rsi_OB_70,rsi_OS_30,LRSI,len,lrsi,lrsi_OB_07,lrsi_OS_03,TSI,len,tsi,tsi_pos,tsi_neg
1,10dORHV,1,1/4/10 0:00,,,,15.67,,,stockpx,1,1/4/10 0:00,,,,30.95,,,HVStrategy,1,733776,RSI,1,,,,LRSI,1,,,,TSI,1,,,
2,10dORHV,2,1/5/10 0:00,,,,12.79,,,stockpx,2,1/5/10 0:00,,,,30.93,,,HVStrategy,2,733777,RSI,2,,,,LRSI,2,,,,TSI,2,,,
3,10dORHV,3,1/6/10 0:00,,,,12.7,,,stockpx,3,1/6/10 0:00,,,,30.75,,,HVStrategy,3,733778,RSI,3,,,,LRSI,3,,,,TSI,3,,,
4,10dORHV,4,1/7/10 0:00,,,,12.97,,,stockpx,4,1/7/10 0:00,,,,30.45,,,HVStrategy,4,733779,RSI,4,,,,LRSI,4,,,,TSI,4,,,
5,10dORHV,5,1/8/10 0:00,,,,13.25,,,stockpx,5,1/8/10 0:00,,,,30.68,,,HVStrategy,5,733780,RSI,5,,,,LRSI,5,,,,TSI,5,,,
6,10dORHV,6,1/11/10 0:00,,,,13.67,,,stockpx,6,1/11/10 0:00,,,,30.24,,,HVStrategy,6,733783,RSI,6,,,,LRSI,6,0.714285714,1,0,TSI,6,,,
7,10dORHV,7,1/12/10 0:00,,,,13.56,,,stockpx,7,1/12/10 0:00,,,,30.03,,,HVStrategy,7,733784,RSI,7,,,,LRSI,7,0.713008937,1,0,TSI,7,,,
8,10dORHV,8,1/13/10 0:00,,,,14.22,,,stockpx,8,1/13/10 0:00,,,,30.37,,,HVStrategy,8,733785,RSI,8,,,,LRSI,8,0.802366287,1,0,TSI,8,,,
9,10dORHV,9,1/14/10 0:00,,,,15.09,,,stockpx,9,1/14/10 0:00,,,,31.01,,,HVStrategy,9,733786,RSI,9,,,,LRSI,9,1,1,0,TSI,9,,,
10,10dORHV,10,1/15/10 0:00,,,,13.88,,,stockpx,10,1/15/10 0:00,,,,30.9,,,HVStrategy,10,733787,RSI,10,,,,LRSI,10,1,1,0,TSI,10,,,
11,10dORHV,11,1/19/10 0:00,,,,13.43,,,stockpx,11,1/19/10 0:00,,,,31.1,,,HVStrategy,11,733791,RSI,11,,,,LRSI,11,1,1,0,TSI,11,,,
12,10dORHV,12,1/20/10 0:00,,,,14.07,,,stockpx,12,1/20/10 0:00,,,,30.61,,,HVStrategy,12,733792,RSI,12,,,,LRSI,12,1,1,0,TSI,12,,,
13,10dORHV,13,1/21/10 0:00,,,,14.12,,,stockpx,13,1/21/10 0:00,,,,30.06,,,HVStrategy,13,733793,RSI,13,,,,LRSI,13,1,1,0,TSI,13,,,
14,10dORHV,14,1/22/10 0:00,,,,19.1,,,stockpx,14,1/22/10 0:00,,,,28.95,,,HVStrategy,14,733794,RSI,14,,,,LRSI,14,0.96878272,1,0,TSI,14,,,
15,10dORHV,15,1/25/10 0:00,,,,22.73,,,stockpx,15,1/25/10 0:00,,,,29.37,,,HVStrategy,15,733797,RSI,15,34.92366412,0,0,LRSI,15,0.962806448,1,0,TSI,15,,,
16,10dORHV,16,1/26/10 0:00,,,,24.31,,,stockpx,16,1/26/10 0:00,,,,29.55,,,HVStrategy,16,733798,RSI,16,37.24518686,0,0,LRSI,16,0.974457692,1,0,TSI,16,,,
17,10dORHV,17,1/27/10 0:00,,,,24.46,,,stockpx,17,1/27/10 0:00,,,,29.7,,,HVStrategy,17,733799,RSI,17,39.19195543,0,0,LRSI,17,1,1,0,TSI,17,,,
18,10dORHV,18,1/28/10 0:00,,,,25.95,,,stockpx,18,1/28/10 0:00,,,,29.29,,,HVStrategy,18,733800,RSI,18,35.91257977,0,0,LRSI,18,0.909010687,1,0,TSI,18,,,
19,10dORHV,19,1/29/10 0:00,,,,30.8,,,stockpx,19,1/29/10 0:00,,,,28.12,,,HVStrategy,19,733801,RSI,19,28.5667379,0,1,LRSI,19,0.564856412,0,0,TSI,19,,,
20,10dORHV,20,2/1/10 0:00,,,,31.89,,,stockpx,20,2/1/10 0:00,,,,28.37,,,HVStrategy,20,733804,RSI,20,31.77787639,0,0,LRSI,20,0.468186137,0,0,TSI,20,,,
