Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,LRSI,len,lrsi,TSI,len,tsi,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,2010-01-04 00:00:00,,,,15.67,,,stockpx,1,2010-01-04 00:00:00,,,,30.95,,,HVStrategy,1,733776.0,RSI,1,,LRSI,1,,TSI,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,2010-01-05 00:00:00,,,,12.79,,,stockpx,2,2010-01-05 00:00:00,,,,30.93,,,HVStrategy,2,733777.0,RSI,2,,LRSI,2,,TSI,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,2010-01-06 00:00:00,,,,12.7,,,stockpx,3,2010-01-06 00:00:00,,,,30.75,,,HVStrategy,3,733778.0,RSI,3,,LRSI,3,,TSI,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,2010-01-07 00:00:00,,,,12.97,,,stockpx,4,2010-01-07 00:00:00,,,,30.45,,,HVStrategy,4,733779.0,RSI,4,,LRSI,4,,TSI,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,2010-01-08 00:00:00,,,,13.25,,,stockpx,5,2010-01-08 00:00:00,,,,30.68,,,HVStrategy,5,733780.0,RSI,5,,LRSI,5,,TSI,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,2010-01-11 00:00:00,,,,13.67,,,stockpx,6,2010-01-11 00:00:00,,,,30.24,,,HVStrategy,6,733783.0,RSI,6,,LRSI,6,0.7142857142857142,TSI,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,2010-01-12 00:00:00,,,,13.56,,,stockpx,7,2010-01-12 00:00:00,,,,30.03,,,HVStrategy,7,733784.0,RSI,7,,LRSI,7,0.7128060263653483,TSI,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,2010-01-13 00:00:00,,,,14.22,,,stockpx,8,2010-01-13 00:00:00,,,,30.37,,,HVStrategy,8,733785.0,RSI,8,,LRSI,8,0.8083776790509203,TSI,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,2010-01-14 00:00:00,,,,15.09,,,stockpx,9,2010-01-14 00:00:00,,,,31.01,,,HVStrategy,9,733786.0,RSI,9,,LRSI,9,1.0,TSI,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,10dORHV,10,2010-01-15 00:00:00,,,,13.88,,,stockpx,10,2010-01-15 00:00:00,,,,30.9,,,HVStrategy,10,733787.0,RSI,10,,LRSI,10,1.0,TSI,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,10dORHV,11,2010-01-19 00:00:00,,,,13.43,,,stockpx,11,2010-01-19 00:00:00,,,,31.1,,,HVStrategy,11,733791.0,RSI,11,,LRSI,11,1.0,TSI,11,,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,10dORHV,12,2010-01-20 00:00:00,,,,14.07,,,stockpx,12,2010-01-20 00:00:00,,,,30.61,,,HVStrategy,12,733792.0,RSI,12,,LRSI,12,1.0,TSI,12,,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,10dORHV,13,2010-01-21 00:00:00,,,,14.12,,,stockpx,13,2010-01-21 00:00:00,,,,30.06,,,HVStrategy,13,733793.0,RSI,13,,LRSI,13,1.0,TSI,13,,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,10dORHV,14,2010-01-22 00:00:00,,,,19.1,,,stockpx,14,2010-01-22 00:00:00,,,,28.95,,,HVStrategy,14,733794.0,RSI,14,,LRSI,14,1.0,TSI,14,,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,10dORHV,15,2010-01-25 00:00:00,,,,22.73,,,stockpx,15,2010-01-25 00:00:00,,,,29.37,,,HVStrategy,15,733797.0,RSI,15,71.3422007255139,LRSI,15,1.0,TSI,15,,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,10dORHV,16,2010-01-26 00:00:00,,,,24.31,,,stockpx,16,2010-01-26 00:00:00,,,,29.55,,,HVStrategy,16,733798.0,RSI,16,74.01534958252509,LRSI,16,1.0,TSI,16,,Broker,16,100024.31,100000.0,BuySell,16,,24.31,BuySell,16,,,DataTrades,16,,
17,10dORHV,17,2010-01-27 00:00:00,,,,24.46,,,stockpx,17,2010-01-27 00:00:00,,,,29.7,,,HVStrategy,17,733799.0,RSI,17,74.26081703735598,LRSI,17,1.0,TSI,17,,Broker,17,100024.31,99999.84999999999,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,10dORHV,18,2010-01-28 00:00:00,,,,25.95,,,stockpx,18,2010-01-28 00:00:00,,,,29.29,,,HVStrategy,18,733800.0,RSI,18,76.62315797413183,LRSI,18,1.0,TSI,18,,Broker,18,100024.31,99998.36,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,10dORHV,19,2010-01-29 00:00:00,,,,30.8,,,stockpx,19,2010-01-29 00:00:00,,,,28.12,,,HVStrategy,19,733801.0,RSI,19,82.313415736948,LRSI,19,1.0,TSI,19,,Broker,19,100024.31,99993.51,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,10dORHV,20,2010-02-01 00:00:00,,,,31.89,,,stockpx,20,2010-02-01 00:00:00,,,,28.37,,,HVStrategy,20,733804.0,RSI,20,83.29742453882614,LRSI,20,1.0,TSI,20,,Broker,20,100024.31,99992.42,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,10dORHV,21,2010-02-02 00:00:00,,,,31.77,,,stockpx,21,2010-02-02 00:00:00,,,,28.47,,,HVStrategy,21,733805.0,RSI,21,82.75157778714976,LRSI,21,1.0,TSI,21,,Broker,21,100024.31,99992.54,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,10dORHV,22,2010-02-03 00:00:00,,,,31.69,,,stockpx,22,2010-02-03 00:00:00,,,,28.61,,,HVStrategy,22,733806.0,RSI,22,82.3640789292019,LRSI,22,1.0,TSI,22,,Broker,22,99992.62,99992.62,BuySell,22,31.69,,BuySell,22,,,DataTrades,22,-7.380000000000003,
23,10dORHV,23,2010-02-04 00:00:00,,,,33.48,,,stockpx,23,2010-02-04 00:00:00,,,,27.86,,,HVStrategy,23,733807.0,RSI,23,84.1522515473388,LRSI,23,1.0,TSI,23,,Broker,23,100026.09999999999,99992.62,BuySell,23,,33.48,BuySell,23,,,DataTrades,23,,
24,10dORHV,24,2010-02-05 00:00:00,,,,30.69,,,stockpx,24,2010-02-05 00:00:00,,,,28.01,,,HVStrategy,24,733808.0,RSI,24,71.91300733479673,LRSI,24,1.0,TSI,24,,Broker,24,100026.09999999999,99995.40999999999,BuySell,24,,,BuySell,24,,,DataTrades,24,,
