Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,Bollinger_Breakout,len,breakout,Bollinger_Breakdown,len,breakdown,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,2010-01-04 00:00:00,,,,20.07,,,stockpx,1,2010-01-04 00:00:00,,,,214.31,,,HVStrategy,1,733776.0,Bollinger_Breakout,1,,Bollinger_Breakdown,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,2010-01-05 00:00:00,,,,19.46,,,stockpx,2,2010-01-05 00:00:00,,,,214.27,,,HVStrategy,2,733777.0,Bollinger_Breakout,2,,Bollinger_Breakdown,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,2010-01-06 00:00:00,,,,19.81,,,stockpx,3,2010-01-06 00:00:00,,,,210.84,,,HVStrategy,3,733778.0,Bollinger_Breakout,3,,Bollinger_Breakdown,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,2010-01-07 00:00:00,,,,19.77,,,stockpx,4,2010-01-07 00:00:00,,,,210.42,,,HVStrategy,4,733779.0,Bollinger_Breakout,4,,Bollinger_Breakdown,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,2010-01-08 00:00:00,,,,19.92,,,stockpx,5,2010-01-08 00:00:00,,,,211.83,,,HVStrategy,5,733780.0,Bollinger_Breakout,5,,Bollinger_Breakdown,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,2010-01-11 00:00:00,,,,18.77,,,stockpx,6,2010-01-11 00:00:00,,,,210.23,,,HVStrategy,6,733783.0,Bollinger_Breakout,6,,Bollinger_Breakdown,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,2010-01-12 00:00:00,,,,18.67,,,stockpx,7,2010-01-12 00:00:00,,,,207.33,,,HVStrategy,7,733784.0,Bollinger_Breakout,7,,Bollinger_Breakdown,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,2010-01-13 00:00:00,,,,19.64,,,stockpx,8,2010-01-13 00:00:00,,,,210.74,,,HVStrategy,8,733785.0,Bollinger_Breakout,8,,Bollinger_Breakdown,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,2010-01-14 00:00:00,,,,18.69,,,stockpx,9,2010-01-14 00:00:00,,,,209.42,,,HVStrategy,9,733786.0,Bollinger_Breakout,9,,Bollinger_Breakdown,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,10dORHV,10,2010-01-15 00:00:00,,,,19.51,,,stockpx,10,2010-01-15 00:00:00,,,,206.01,,,HVStrategy,10,733787.0,Bollinger_Breakout,10,,Bollinger_Breakdown,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,10dORHV,11,2010-01-19 00:00:00,,,,21.5,,,stockpx,11,2010-01-19 00:00:00,,,,214.97,,,HVStrategy,11,733791.0,Bollinger_Breakout,11,,Bollinger_Breakdown,11,,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,10dORHV,12,2010-01-20 00:00:00,,,,22.69,,,stockpx,12,2010-01-20 00:00:00,,,,211.94,,,HVStrategy,12,733792.0,Bollinger_Breakout,12,,Bollinger_Breakdown,12,,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,10dORHV,13,2010-01-21 00:00:00,,,,23.22,,,stockpx,13,2010-01-21 00:00:00,,,,207.92,,,HVStrategy,13,733793.0,Bollinger_Breakout,13,,Bollinger_Breakdown,13,,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,10dORHV,14,2010-01-22 00:00:00,,,,25.74,,,stockpx,14,2010-01-22 00:00:00,,,,197.94,,,HVStrategy,14,733794.0,Bollinger_Breakout,14,,Bollinger_Breakdown,14,,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
